sludinajuma_saite,bilde,marka,gads,tilpums,nobraukums,cena
/msg/lv/transport/cars/bmw/525/cjlho.html,https://i.ss.lv/gallery/7/1323/330632/66126265.th2.jpg,"['Bmw', <br/>, '525']",['2005'],['2.5D'],['378 tūkst.'],"['3,500  €']"
/msg/lv/transport/cars/land-rover/range-rover-sport/ccenjm.html,https://i.ss.lv/gallery/7/1303/325745/65148891.th2.jpg,"['Land Rover', <br/>, 'Range Rover Sport']",['2011'],['3.0D'],['271 tūkst.'],"['9,990  €']"
/msg/lv/transport/cars/volkswagen/passat-b5/nlimi.html,https://i.ss.lv/gallery/7/1323/330631/66126046.th2.jpg,"['Volkswagen', <br/>, 'Passat (B5)']",['2000'],['1.8'],['235 tūkst.'],['500  €']
/msg/lv/transport/cars/ford/ecosport/cxgfbe.html,https://i.ss.lv/gallery/7/1312/327877/65575352.th2.jpg,"['Ford', <br/>, 'EcoSport']",['2016'],['1.4'],['145 tūkst.'],"['8,999  €']"
/msg/lv/transport/cars/seat/altea/bpcjcg.html,https://i.ss.lv/gallery/7/1302/325298/65059528.th2.jpg,"['Seat', <br/>, 'Altea']",['2008'],['2.0'],['249 tūkst.'],"['2,999  €']"
/msg/lv/transport/cars/skoda/roomster/bnxgnh.html,https://i.ss.lv/gallery/7/1323/330629/66125649.th2.jpg,[<b>Skoda<br/>Roomster</b>],[<b>2013</b>],[<b>1.2</b>],"[<b>332</b>, ' tūkst.']","[<b>1,399</b>, '  €']"
/msg/lv/transport/cars/bmw/318/dnglk.html,https://i.ss.lv/gallery/7/1316/328970/65793810.th2.jpg,[<b>Bmw<br/>318</b>],[<b>2005</b>],[<b>1.8</b>],"[<b>211</b>, ' tūkst.']","[<b>2,000</b>, '  €']"
/msg/lv/transport/cars/land-rover/discovery/hlxlb.html,https://i.ss.lv/gallery/7/1317/329046/65809157.th2.jpg,"['Land Rover', <br/>, 'Discovery']",['2015'],['2.0D'],['150 tūkst.'],"['12,900  €']"
/msg/lv/transport/cars/mini/countryman/cddxmb.html,https://i.ss.lv/gallery/7/1319/329669/65933651.th2.jpg,"['Mini', <br/>, 'Countryman']",['2010'],['1.6D'],['180 tūkst.'],"['6,900  €']"
/msg/lv/transport/cars/volvo/xc60/cexmlf.html,https://i.ss.lv/gallery/7/1323/330631/66126001.th2.jpg,"['Volvo', <br/>, 'XC 60']",['2009'],['2.4D'],['280 tūkst.'],"['8,500  €']"
/msg/lv/transport/cars/volkswagen/passat-b6/bjcmxl.html,https://i.ss.lv/gallery/7/1323/330630/66125964.th2.jpg,"['Volkswagen', <br/>, 'Passat (B6)']",['2010'],['2.0D'],['-'],"['1,000  €']"
/msg/lv/transport/cars/rover/range-rover/bnjef.html,https://i.ss.lv/gallery/7/1206/301462/60292240.th2.jpg,"['Rover', <br/>, 'Range Rover']",['2007'],['3.6D'],['244 tūkst.'],"['9,500  €']"
/msg/lv/transport/cars/skoda/superb/adokk.html,https://i.ss.lv/gallery/7/1323/330630/66125944.th2.jpg,"['Skoda', <br/>, 'Superb']",['2010'],['2.0D'],['-'],"['4,890  €']"
/msg/lv/transport/cars/volkswagen/sharan/bdfehm.html,https://i.ss.lv/gallery/7/1217/304188/60837542.th2.jpg,"['Volkswagen', <br/>, 'Sharan']",['2000'],['1.9D'],['278 tūkst.'],['500  €']
/msg/lv/transport/cars/mercedes/e350/blneim.html,https://i.ss.lv/gallery/7/1311/327706/65541123.th2.jpg,"['Mercedes', <br/>, 'E350']",['2015'],['3.0D'],['265 tūkst.'],"['14,600  €']"
/msg/lv/transport/cars/opel/meriva/bhbnek.html,https://i.ss.lv/gallery/7/1321/330203/66040446.th2.jpg,"['Opel', <br/>, 'Meriva']",['2007'],['1.7D'],['299 tūkst.'],"['1,100  €']"
/msg/lv/transport/cars/bmw/x6/bkkfnx.html,https://i.ss.lv/gallery/7/1252/312852/62570269.th2.jpg,"['Bmw', <br/>, 'X6']",['2016'],['3.0D'],['189 tūkst.'],"['29,500  €']"
/msg/lv/transport/cars/toyota/avensis/cemibo.html,https://i.ss.lv/gallery/7/1256/313922/62784272.th2.jpg,[<b>Toyota<br/>Avensis</b>],[<b>2006</b>],[<b>2.0D</b>],"[<b>380</b>, ' tūkst.']","[<b>1,750</b>, '  €']"
/msg/lv/transport/cars/bmw/x5/cebojb.html,https://i.ss.lv/gallery/7/1323/330615/66122992.th2.jpg,"['Bmw', <br/>, 'X5']",['2013'],['3.0D'],['282 tūkst.'],"['23,990  €']"
/msg/lv/transport/cars/volkswagen/sharan/fncnh.html,https://i.ss.lv/gallery/7/1323/330619/66123720.th2.jpg,"['Volkswagen', <br/>, 'Sharan']",['2002'],['1.9D'],['350 tūkst.'],"['1,750  €']"
/msg/lv/transport/cars/mini/clubman/cfnfip.html,https://i.ss.lv/gallery/7/1323/330624/66124623.th2.jpg,"['Mini', <br/>, 'Clubman']",['2017'],['2.0D'],['180 tūkst.'],"['13,300  €']"
/msg/lv/transport/cars/nissan/juke/cecbxn.html,https://i.ss.lv/gallery/7/1323/330630/66125819.th2.jpg,"['Nissan', <br/>, 'Juke']",['2013'],['1.5D'],['267 tūkst.'],"['4,500  €']"
/msg/lv/transport/cars/smart/fortwo/cfhfeb.html,https://i.ss.lv/gallery/7/1281/320184/64036628.th2.jpg,"['Smart', <br/>, 'ForTwo']",['2008'],['0.8D'],['155 tūkst.'],"['3,033  €']"
/msg/lv/transport/cars/volkswagen/touareg/ekkln.html,https://i.ss.lv/gallery/7/1277/319013/63802519.th2.jpg,"['Volkswagen', <br/>, 'Touareg']",['2002'],['3.2'],['366 tūkst.'],"['3,480  €']"
/msg/lv/transport/cars/nissan/qashqai/bnfdod.html,https://i.ss.lv/gallery/7/1316/328779/65755681.th2.jpg,"['Nissan', <br/>, 'Qashqai']",['2011'],['2.0D'],['-'],"['5,350  €']"
